Name,Type,Description
2d_bridge_crest_level,Text,
2d_flow_type,Text,
2d_horz_eddy_visc_eqn,Text,
2d_linear_crest_level,Text,
2d_linear_struct_hlspec,Text,
2d_linear_struct_hltype,Text,
2d_linear_struct_weir,Text,
2d_linear_structure_type,Text,
2d_mesh_gnd_level_mod,Text,
2d_over_flow_type,Text,
2d_point_source_trigger,Text,
2d_porous_wall_rem_wall,Text,
2d_porous_wall_trigger,Text,
2d_runoff_volume_type,Text,
2d_sluice_crest_level,Text,
2d_vert_eddy_visc_eqn,Text,
aldepth_method,Text,
aldepth_method_1D,Text,
apply_rainfall_subcatch_2d_zone,Text,
area_measurement_type,Text,
arma_error_calc,Text,
BaseFlow_calc,Text,
bed_updating,Text,
bedload_boundary_type,Text,
bedload_formula,Text,
bench_method,Text,
boundary_line_type_2d,Text,
boundary_type_2d_zone,Text,
BSL,Text,
building_drains_to,Text,
building_mesh_level_type,Text,
BUILDUPTYPE,Text,
CFX,Text,
channel_roughness_type,Text,
conduit_roughness_type,Text,
conduit_type,Text,
connection_type,Text,
critical_sewer_category,Text,
critical_shields_method,Text,
culvert_equation,Text,
culvert_in_rev_model,Text,
culvert_in_type,Integer,
culvert_out_rev_model,Text,
Damage_Curve_Type,Text,
DET,Text,
diff1d_type,Text,
erosion_limit_type,Text,
erosion_model,Text,
evapotranspiration_type,Text,
exceed_flow_type,Text,
flap_valve_type,Text,
flood_type,Text,
ground_condition,Text,
gtweir_direction,Text,
hw_node_type,Text,
hw_site_condition,Text,
hw_system_type,Text,
hydrograph_month,Text,
icml_action_app_to_sim,Text,
icml_action_rep_control,Text,
icml_action_state_status,Text,
icml_action_type,Text,
icml_alert_comparison,Text,
icml_alert_transform,Text,
icml_alert_visibility,Text,
icml_db_export_type,Text,
icml_email_auth,Integer,
icml_email_security,Integer,
icml_peak_value,Text,
icml_run_updatetsdb,Text,
icml_run_variants,Text,
initial_loss_type,Text,
inlet_input_type,Text,
inlet_type,Text,
IWSWClimatology_source,Text,
IWSWRun_routing_model,Text,
IWSWRun_surcharge_method,Text,
lag_time_method,Text,
link_type_blockage,Text,
link_type_flume,Text,
link_type_orifice,Text,
link_type_pump,Text,
link_type_sluice,Text,
link_type_user_control,Text,
link_type_weir,Text,
mesh_gen_2d_zone,Text,
mesh_level_type,Text,
mesh_lvl_vertex_type,Text,
model_type,Text,
nbconc,Text,
nbconc_method,Text,
node_2d_link_type,Text,
non-linear_routing_method,Text,
opening_type,Text,
OV,Text,
PDMBSType,Text,
PDMIFType,Text,
PDMREType,Text,
PDMRRType,Text,
PDMSMDType,Text,
PDMSSType,Text,
perm_zone_drains_to,Text,
PPA,Text,
PPD,Text,
PPP,Text,
refh_model_type,Text,
refh2_country,Text,
refh2_scale,Text,
river_roughness_type,Text,
river_solution_model,Text,
rough_band_count,Text,
routing_model,Text,
runoff_routing_type,Text,
runoff_volume_type,Text,
settling_calc_sf1,Text,
settling_calc_sf2,Text,
SFX,Text,
shape_type,Text,
side,Text,
skinfric_method,Text,
SMD,Text,
soil_class,Integer,
soil_class_type_icm,Text,
solution_model,Text,
source_type_spatial_rain,Text,
status,Text,
sub_internal_routing,Text,
sub_lateral_weights,Text,
sub_suds_outflow,Text,
subcatch_drains_to,Text,
suds_control_type,Text,
suds_soil_class,Text,
suds_surface,Text,
SURF,Text,
surface_type,Text,
system_type_icm,Text,
tc_method,Text,
threshold_type_grnd_infl,Text,
total_load_model,Text,
tvd_usage,Text,
UFHW,Text,
uh_definition,Text,
USDS,Text,
wall_crest_level,Text,
WASHMODEL,Text,
WASHTYPE,Text,
weighting_model,Text,
